impact,id,description,help,helpUrl,tags,html,target,failureSummary
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img width=\"120\" height=\"120\" src=\"/themes/nect-theme/img/NSF_logo.svg\">","img[width=\"120\"]","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
moderate,landmark-one-main,"Ensure the document has a main landmark","Document should have one main landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI","cat.semantics;best-practice","<html lang=\"en\" dir=\"ltr\" class=\" js\">","html","Fix all of the following:\n  Document does not have a main landmark"
moderate,landmark-unique,"Ensure landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI","cat.semantics;best-practice","<nav class=\"navbar navbar-expand secondary-nav navbar-light bg-light \" id=\"secondaryNav\">","#secondaryNav","Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a class=\"nsf-logo\" href=\"https://www.nsf.gov/\" target=\"_blank\" rel=\"noopener\">\n              <img width=\"120\" height=\"120\" src=\"/themes/nect-theme/img/NSF_logo.svg\">\n            </a>",".nsf-logo","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div id=\"block-ood-page-title\">","#block-ood-page-title","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div id=\"block-ood-oodaffinitygroupintro\">","#block-ood-oodaffinitygroupintro","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"text-right\" style=\"margin-top:-2.5rem !important;\" id=\"requestAffinityWide\"><a class=\"btn btn-sm btn-primary\" href=\"https://ondemand.ddev.site/form/affinity-group-request\">Request a Group</a></div>","#requestAffinityWide","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"views-element-container\">",".views-element-container","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"js-form-item form-item js-form-type-textfield form-item-search-api-fulltext js-form-item-search-api-fulltext form-group\">",".js-form-item","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<h2>Tags</h2>","#block-ood-affinitysearchtags > h2","Fix any of the following:\n  Some page content is not contained by landmarks"
